id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21812384,521616514,2019-05-09,United Kingdom,within an hour,100%,99%,t,Gold Coast,8,9,"['email', 'phone', 'work_email']",t,t,Near North Side,41.90136,-87.62574,Entire townhouse,Entire home/apt,10,3.5 baths,4.0,$370.00,2,28,2,2,1125,1125,2.0,1125.0,t,19,38,68,335,138,36,4,2019-07-23,2023-12-15,4.78,4.8,4.76,4.8,4.7,4.99,4.65,t,2,2,0,0,2.57
913489026868910548,605209547,2019-10-15,"Chicago, IL",within an hour,90%,100%,f,Montclare,4,5,"['email', 'phone']",t,f,Montclare,41.92539,-87.79371,Entire condo,Entire home/apt,2,1 bath,1.0,$62.00,32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,14,14,3,3,0,2023-03-01,2023-08-22,4.67,4.67,4.33,5.0,5.0,4.67,5.0,f,4,4,0,0,0.31
841936404963037569,252359307,2017-04-16,"Chicago, IL",within an hour,99%,96%,t,Fulton Market,24,28,"['email', 'phone']",t,t,Loop,41.8777,-87.62805,Entire rental unit,Entire home/apt,6,2 baths,3.0,$173.00,2,60,2,4,60,60,2.0,60.0,t,0,0,0,0,109,56,0,2022-03-08,2023-11-09,4.81,4.82,4.83,4.87,4.93,4.82,4.55,f,24,24,0,0,5.02
808457668793356731,1675006,2011-07-19,"Chicago, IL",,,,t,Irving Park,1,5,"['email', 'phone', 'work_email']",t,t,Irving Park,41.95965,-87.72016,Entire condo,Entire home/apt,2,1 bath,1.0,$69.00,32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,0,107,46,0,0,2014-09-14,2022-12-01,4.78,4.89,4.89,4.93,4.91,4.57,4.72,f,1,1,0,0,0.41
953552490159108972,214868994,2016-12-16,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Near West Side,41.8850096,-87.6440271,Entire rental unit,Entire home/apt,2,1 bath,1.0,$200.00,32,1125,32,366,1125,1125,349.7,1125.0,t,16,46,76,351,0,0,0,,,,,,,,,,f,643,643,0,0,
842221658848190882,341571126,2018-01-30,"Springfield, IL",within an hour,99%,97%,f,Near North Side,120,149,"['email', 'phone']",t,t,Lincoln Park,41.91201644400195,-87.63400521814037,Entire rental unit,Entire home/apt,14,2 baths,7.0,$158.00,2,1125,2,3,1125,1125,2.5,1125.0,t,0,0,0,0,52,52,3,2023-01-15,2023-12-10,4.68,4.7,4.68,4.74,4.83,4.87,4.68,f,38,38,0,0,4.62
16665876,882958959,2022-01-21,,a few days or more,0%,0%,f,South Shore,1,1,"['email', 'phone']",t,t,South Shore,41.75402,-87.55153,Private room in rental unit,Private room,1,1 shared bath,1.0,$24.00,32,220,32,32,220,220,32.0,220.0,t,30,60,90,269,0,0,0,,,,,,,,,,f,1,0,1,0,
1015888861715827898,966403066,2022-10-11,"Chicago, IL",within an hour,90%,80%,t,Near South Side,3,3,"['email', 'phone']",t,t,Near North Side,41.9040204,-87.6326926,Entire condo,Entire home/apt,2,1 bath,1.0,$160.00,32,365,32,32,365,365,32.0,365.0,t,0,0,16,291,3,3,0,2023-01-14,2023-09-19,5.0,5.0,4.67,5.0,5.0,4.33,5.0,f,3,3,0,0,0.27
965115982005562337,7931003,2012-10-24,"Chicago, IL",within an hour,100%,68%,t,South Loop/Printers Row,79,228,"['email', 'phone', 'work_email']",t,t,Near North Side,41.88853,-87.63399,Entire rental unit,Entire home/apt,2,1 bath,1.0,$170.00,90,1123,90,90,1123,1123,90.0,1123.0,t,30,60,90,365,13,0,0,2014-08-31,2019-09-11,4.92,4.92,4.92,4.85,4.92,5.0,4.46,f,72,72,0,0,0.11
764556394279120790,734822179,2020-09-13,"Chicago, IL",within a few hours,75%,0%,f,Lower West Side,29,30,"['email', 'phone']",t,t,East Garfield Park,41.88496,-87.69635,Private room in home,Private room,2,1 shared bath,1.0,$38.00,32,1125,32,32,1125,1125,32.0,1125.0,t,30,60,90,365,0,0,0,,,,,,,,,,f,29,1,28,0,
51493537,981505567,2022-12-08,"Chicago, IL",within an hour,100%,90%,t,Rush & Division,9,10,"['email', 'phone']",t,t,Near North Side,41.89918777416008,-87.62687062933351,Entire rental unit,Entire home/apt,2,1 bath,1.0,$54.00,1,365,2,2,365,365,2.0,365.0,t,24,54,84,174,31,31,1,2023-05-09,2023-12-03,4.71,4.77,4.84,4.87,4.87,4.97,4.61,f,8,8,0,0,4.15
46026541,1041606182,2023-06-19,,within an hour,100%,99%,t,South Lawndale,3,3,"['email', 'phone']",t,t,South Lawndale,41.845203821103695,-87.717881010083,Entire rental unit,Entire home/apt,2,1 bath,1.0,$62.00,1,365,2,2,365,365,2.0,365.0,t,0,0,0,0,21,21,3,2023-07-01,2023-12-15,4.68,4.82,4.68,4.64,4.82,4.32,4.59,t,3,3,0,0,3.68
590862841118193261,632961395,2019-12-11,,within an hour,100%,100%,f,East Albany Park,16,23,"['email', 'phone']",t,t,Norwood Park,41.99203887421445,-87.7851128622145,Entire rental unit,Entire home/apt,4,1 bath,2.0,$56.00,1,365,2,2,1125,1125,2.0,1125.0,t,26,56,86,361,12,12,0,2023-04-18,2023-10-30,4.17,4.58,4.33,4.5,4.33,4.75,4.17,t,15,15,0,0,1.47
1042909062401694313,239726214,2017-03-08,"Chicago, IL",within an hour,100%,100%,t,Wicker Park,2,2,"['email', 'phone']",t,f,West Town,41.90762,-87.66768,Entire rental unit,Entire home/apt,3,1 bath,2.0,$99.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,170,37,0,2018-06-05,2023-11-13,4.95,4.96,4.94,4.98,4.98,4.95,4.91,f,2,2,0,0,2.52
796497011226548841,136254602,2016-04-20,,,,,f,Pulaski Park,1,1,"['email', 'phone', 'work_email']",t,t,West Town,41.90175,-87.66801,Entire rental unit,Entire home/apt,2,1 bath,,"$1,200.00",32,1125,32,32,1125,1125,32.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,,,f,1,1,0,0,
544085418496140580,100950174,2015-12-03,"Chicago, IL",within an hour,100%,98%,t,Andersonville,1,1,"['email', 'phone']",t,t,Edgewater,41.98688,-87.66738,Entire rental unit,Entire home/apt,5,1 bath,3.0,$261.00,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,46,38,2,2022-10-14,2023-12-04,5.0,5.0,4.98,4.98,5.0,5.0,4.89,f,1,1,0,0,3.2
51735351,1044835854,2023-06-27,,within an hour,100%,97%,f,West Town,1,1,"['email', 'phone']",t,t,West Town,41.91154,-87.69407,Entire rental unit,Entire home/apt,4,2 baths,4.0,$80.00,2,365,2,7,1125,1125,6.0,1125.0,t,13,43,73,73,23,23,5,2023-08-30,2023-12-04,4.74,4.78,4.87,4.74,4.83,4.7,4.83,t,1,1,0,0,6.22
659955741870259168,309700794,2017-10-16,,within an hour,100%,100%,f,West Lakeview,2,2,"['email', 'phone']",t,t,North Center,41.939255,-87.682321,Entire rental unit,Entire home/apt,8,1.5 baths,4.0,$74.00,32,365,32,32,32,1125,32.0,155.1,t,29,59,89,332,177,3,0,2017-11-26,2023-08-08,4.71,4.78,4.61,4.82,4.9,4.8,4.67,t,2,2,0,0,2.4
917291698482736489,424626706,2018-08-28,"Chicago, IL",within an hour,100%,97%,t,Streeterville,31,36,"['email', 'phone']",t,t,Loop,41.87158,-87.62607,Private room in rental unit,Private room,2,1 private bath,1.0,$96.00,2,365,2,4,1125,1125,2.7,1125.0,t,23,44,44,44,8,8,1,2023-10-20,2023-12-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,20,18,2,0,4.0
838238125450257841,237705410,2017-03-02,"Chicago, IL",within an hour,100%,100%,f,Lower West Side,1,3,"['email', 'phone', 'work_email']",t,t,Lower West Side,41.853422095322856,-87.66670036773925,Entire rental unit,Entire home/apt,6,2 baths,3.0,$80.00,2,365,2,2,365,365,2.0,365.0,t,30,60,90,90,12,12,0,2023-05-08,2023-10-29,4.33,4.5,4.42,4.83,4.83,4.75,4.25,f,1,1,0,0,1.6
25293703,870210386,2021-12-07,"Chicago, IL",within an hour,99%,99%,f,Near South Side,42,65,"['email', 'phone']",t,f,Near North Side,41.89321,-87.6316,Entire rental unit,Entire home/apt,4,1 bath,2.0,$244.00,2,1125,2,2,2,1125,2.0,108.5,t,19,45,75,304,27,21,0,2022-09-02,2023-11-12,4.74,4.74,4.78,4.74,4.67,4.89,4.48,f,41,36,5,0,1.71
657432035295581007,837607639,2021-08-16,,within a day,63%,0%,f,Kelvyn Park,3,3,"['email', 'phone']",t,t,Belmont Cragin,41.92798,-87.74534,Private room in home,Private room,1,1 shared bath,1.0,$21.00,32,1125,32,32,1125,1125,32.0,1125.0,t,30,60,90,364,2,0,0,2021-11-09,2021-12-22,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,2,0,2,0,0.08
941435650539364521,2237739,2011-09-06,"Chicago, IL",within an hour,96%,100%,f,Streeterville,13,47,"['email', 'phone']",t,t,Near South Side,41.86267494922655,-87.62293311979505,Entire rental unit,Entire home/apt,6,2 baths,3.0,$152.00,6,365,2,7,1125,1125,5.7,1125.0,t,8,35,65,238,25,25,2,2023-05-23,2023-11-25,5.0,5.0,4.92,4.96,4.76,4.88,4.76,t,13,13,0,0,3.57
48849566,497796210,2019-03-14,,within an hour,100%,100%,f,Bronzeville,3,3,"['email', 'phone']",t,t,Grand Boulevard,41.8209,-87.61176,Entire home,Entire home/apt,8,3.5 baths,5.0,$350.00,2,1125,2,2,1125,1125,2.0,1125.0,t,25,50,80,355,4,1,0,2022-03-27,2023-09-30,4.75,5.0,4.75,5.0,5.0,4.75,4.75,f,3,3,0,0,0.19
52731021,301258478,2017-09-14,"Chicago, IL",within an hour,100%,100%,t,Bucktown,1,1,"['email', 'phone']",t,f,Logan Square,41.920656,-87.681332,Entire guest suite,Entire home/apt,2,1 bath,1.0,$202.00,2,18,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,296,31,4,2017-10-15,2023-12-10,4.92,4.94,4.95,4.95,4.95,4.9,4.83,f,1,1,0,0,3.94
1392594,960682634,2022-09-20,"Chicago, IL",within an hour,100%,87%,t,Portage Park,10,10,"['email', 'phone']",t,t,Portage Park,41.9613,-87.75547,Entire rental unit,Entire home/apt,2,1 bath,1.0,$53.00,1,90,2,2,1125,1125,2.0,1125.0,t,24,54,84,174,30,30,2,2023-01-02,2023-12-11,4.73,4.83,4.9,4.77,4.87,4.77,4.7,f,10,10,0,0,2.56
6990105,231792467,2017-02-11,"Chicago, IL",,,94%,t,West Town,1,1,"['email', 'phone', 'work_email']",t,t,West Town,41.89964,-87.67192,Entire condo,Entire home/apt,12,2.5 baths,7.0,$636.00,2,365,2,2,365,365,2.0,365.0,t,30,60,90,365,16,10,0,2022-07-17,2023-09-17,4.88,4.88,4.81,4.81,4.94,5.0,4.69,f,1,1,0,0,0.92
28522014,19702274,2013-11-06,,within an hour,100%,100%,f,West Town,6,6,"['email', 'phone']",t,t,Near West Side,41.87701,-87.64534,Entire condo,Entire home/apt,6,2 baths,3.0,$105.00,32,365,32,32,1125,1125,32.0,1125.0,t,3,33,63,161,2,2,0,2023-09-19,2023-11-04,4.0,4.5,3.0,4.5,4.0,5.0,3.5,f,6,6,0,0,0.66
604240007751009553,18517131,2013-10-06,"Chicago, IL",within a few hours,100%,100%,f,Irving Park,1,2,"['email', 'phone']",t,t,Irving Park,41.95296916993538,-87.71045097790507,Private room in rental unit,Private room,1,1 bath,1.0,$45.00,32,365,32,32,365,365,32.0,365.0,t,26,26,26,26,0,0,0,,,,,,,,,,f,1,0,1,0,
24965357,214868994,2016-12-16,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Edgewater,41.9839704,-87.655453,Entire rental unit,Entire home/apt,2,1 bath,1.0,$129.00,32,1125,32,366,1125,1125,354.1,1125.0,t,2,32,62,337,0,0,0,,,,,,,,,,f,643,643,0,0,
20834660,103337102,2015-12-18,"Chicago, IL",within an hour,100%,100%,t,River North,8,10,"['email', 'phone']",t,f,Near North Side,41.88893,-87.63022,Private room in loft,Private room,2,1 private bath,2.0,$100.00,1,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,368,73,4,2018-11-25,2023-12-08,4.87,4.87,4.63,4.96,4.98,4.98,4.88,t,8,0,8,0,5.97
40882597,99252214,2015-11-22,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near West Side,41.88871,-87.64185,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,$150.00,160,1124,160,160,1124,1124,160.0,1124.0,t,29,59,89,364,1,0,0,2017-05-27,2017-05-27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,34,34,0,0,0.01
1011650635864560677,201564703,2016-10-22,,within an hour,91%,86%,t,Pilsen,34,44,"['email', 'phone']",t,t,Bridgeport,41.83384,-87.65234,Entire rental unit,Entire home/apt,4,1 bath,2.0,$68.00,32,370,32,32,370,370,32.0,370.0,t,19,49,79,354,10,0,0,2020-02-13,2022-12-11,5.0,5.0,4.9,5.0,5.0,5.0,5.0,f,34,34,0,0,0.21
662573452641798691,333836531,2018-01-10,"Chicago, IL",within an hour,100%,91%,t,Lakeview,10,12,"['email', 'phone']",t,t,Lake View,41.93447,-87.64263,Entire rental unit,Entire home/apt,4,1 bath,2.0,$57.00,1,1125,2,2,1,1125,2.0,1065.9,t,17,47,77,167,75,27,1,2021-07-23,2023-11-25,4.67,4.76,4.76,4.88,4.91,4.97,4.6,f,10,10,0,0,2.56
832728983380665683,1367206,2011-06-09,"Chicago, IL",within an hour,100%,99%,t,Roscoe Village,24,38,"['email', 'phone', 'work_email']",t,t,Lincoln Park,41.92751,-87.65011,Entire rental unit,Entire home/apt,4,1 bath,1.0,$171.00,1,1125,2,4,1125,1125,2.0,1125.0,t,30,60,90,365,84,10,1,2016-02-02,2023-11-25,4.75,4.79,4.95,4.76,4.55,4.95,4.39,t,23,23,0,0,0.88
590591161012149829,870210386,2021-12-07,"Chicago, IL",within an hour,99%,99%,f,Near South Side,42,65,"['email', 'phone']",t,f,Near South Side,41.86274,-87.62473,Entire rental unit,Entire home/apt,6,2 baths,3.0,$444.00,1,1125,2,3,2,1125,2.2,112.2,t,16,30,55,282,62,11,2,2019-12-21,2023-12-01,4.76,4.79,4.6,4.71,4.6,4.82,4.68,f,41,36,5,0,1.27
749362996168607044,214868994,2016-12-16,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Loop,41.8860812,-87.63422229999998,Entire rental unit,Entire home/apt,2,1 bath,1.0,$100.00,32,1125,32,366,1125,1125,353.8,1125.0,t,25,55,85,360,0,0,0,,,,,,,,,,f,643,643,0,0,
1005060982055531595,381293066,2018-05-20,,within an hour,100%,100%,f,Avondale,1,1,"['email', 'phone']",t,f,Avondale,41.93926,-87.72058,Entire home,Entire home/apt,16,4 baths,17.0,$571.00,2,1125,2,3,1125,1125,2.1,1125.0,t,24,51,79,241,117,29,1,2018-06-10,2023-11-24,4.68,4.61,4.44,4.9,4.93,4.67,4.62,f,1,1,0,0,1.74
811442836669328116,354377047,2018-03-07,"Chicago, IL",within an hour,100%,91%,f,River North,59,66,"['email', 'phone', 'work_email']",t,t,Near North Side,41.8918321,-87.6381974,Entire serviced apartment,Entire home/apt,4,2 baths,2.0,$213.00,32,365,32,32,365,365,32.0,365.0,t,30,60,90,365,0,0,0,,,,,,,,,,t,58,58,0,0,
1025546978148209245,1382147,2011-06-11,"Chicago, IL",within a few hours,100%,87%,f,Englewood,22,45,"['email', 'phone']",t,t,South Chicago,41.739059128896265,-87.56400183245147,Shared room in home,Shared room,1,2 shared baths,2.0,$29.00,32,365,32,32,365,365,32.0,365.0,t,23,53,83,358,1,1,0,2023-06-25,2023-06-25,2.0,3.0,2.0,1.0,4.0,1.0,2.0,f,22,0,2,20,0.17
50013067,97436042,2015-11-10,"Miami, FL",within an hour,80%,98%,f,South Shore,1,14,"['email', 'phone']",t,t,South Shore,41.7627823322032,-87.56472686242915,Entire home,Entire home/apt,8,2.5 baths,4.0,$254.00,1,365,2,2,365,365,2.0,365.0,t,29,59,89,269,1,1,0,2023-10-28,2023-10-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,f,1,1,0,0,0.58
24313609,99252214,2015-11-22,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near North Side,41.88895,-87.63364,Entire rental unit,Entire home/apt,2,1 bath,1.0,$160.00,160,1123,160,160,1123,1123,160.0,1123.0,t,30,60,90,365,1,0,0,2018-06-21,2018-06-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,34,34,0,0,0.01
886673555577985294,214868994,2016-12-16,"New York, NY",within an hour,100%,97%,f,Cambridge,4820,6438,"['email', 'phone', 'work_email']",t,t,Near North Side,41.8986092,-87.62068190000002,Entire rental unit,Entire home/apt,4,1 bath,2.0,$147.00,32,1125,32,366,1125,1125,353.4,1125.0,t,11,41,71,346,0,0,0,,,,,,,,,,f,643,643,0,0,
860941672644448133,942722354,2022-07-24,"Chicago, IL",within an hour,100%,100%,t,Little Italy,1,3,"['email', 'phone']",t,t,Near West Side,41.869819483360025,-87.6618342474103,Entire rental unit,Entire home/apt,4,1 bath,2.0,$94.00,2,1125,2,2,1125,1125,2.0,1125.0,t,27,53,83,352,71,45,1,2022-08-10,2023-11-25,4.8,4.79,4.82,4.92,4.87,4.92,4.77,f,1,1,0,0,4.29
1023437690989920007,12495211,2013-05-06,"Fort Lauderdale, FL",within an hour,100%,67%,f,West Loop,1,2,"['email', 'phone']",t,t,Near West Side,41.88607312545159,-87.66372735153845,Entire rental unit,Entire home/apt,3,1 bath,1.0,$124.00,32,1125,32,32,1125,1125,32.0,1125.0,t,13,43,73,253,0,0,0,,,,,,,,,,f,1,1,0,0,
29655041,142054223,2016-05-08,"Chicago, IL",within an hour,100%,100%,f,Lake View,1,1,"['email', 'phone']",t,t,Lake View,41.94780311532144,-87.66456720659262,Private room in rental unit,Private room,1,1 shared bath,1.0,$47.00,3,14,3,4,1125,1125,3.7,1125.0,t,29,59,89,364,1,1,0,2023-10-31,2023-10-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.61
52685474,31031714,2015-09-10,"Chicago, IL",within an hour,100%,100%,t,Humboldt Park,4,4,"['email', 'phone']",t,t,Humboldt Park,41.8906137,-87.7168576,Entire rental unit,Entire home/apt,4,1 bath,3.0,$82.00,32,95,32,32,95,95,32.0,95.0,t,23,53,83,173,0,0,0,,,,,,,,,,f,4,1,3,0,
41616655,222125407,2017-01-12,,within an hour,99%,100%,t,Lincoln Park,24,26,"['email', 'phone']",t,t,Lower West Side,41.8563213,-87.6560896,Entire home,Entire home/apt,8,3 baths,4.0,$123.00,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,39,39,3,2023-04-09,2023-12-11,4.88,4.9,4.85,4.75,5.0,4.63,4.83,t,22,22,0,0,4.61
776573115534267510,851044550,2021-10-01,,within an hour,100%,100%,t,Park Boulevard,9,13,"['email', 'phone']",t,t,Douglas,41.83025,-87.62755,Private room in home,Private room,2,1.5 baths,1.0,$64.00,2,365,2,2,1125,1125,2.0,1125.0,t,27,57,78,243,3,3,0,2023-09-04,2023-10-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,9,0,9,0,0.85
14711066,4114727,2012-04-02,"Chicago, IL",,,,f,Hermosa,1,1,"['email', 'phone']",t,t,Hermosa,41.91394,-87.72486,Entire home,Entire home/apt,2,1 bath,1.0,$65.00,32,1125,32,32,1125,1125,32.0,1125.0,t,27,57,87,267,0,0,0,,,,,,,,,,f,1,1,0,0,
797215342590572826,4842619,2012-05-20,"Chicago, IL",within an hour,100%,100%,t,Hyde Park,2,2,"['email', 'phone']",t,f,Hyde Park,41.79903,-87.59024,Entire home,Entire home/apt,7,2.5 baths,4.0,$314.00,2,7,2,3,7,7,2.0,7.0,t,0,0,0,0,7,7,1,2023-05-07,2023-11-26,5.0,5.0,5.0,5.0,5.0,5.0,4.75,f,1,1,0,0,0.93
54266986,99252214,2015-11-22,"Chicago, IL",within an hour,100%,28%,f,River North,34,74,"['email', 'phone']",t,f,Near North Side,41.89963,-87.62103,Entire rental unit,Entire home/apt,2,1 bath,1.0,$117.00,28,1121,5,28,1121,1121,27.1,1121.0,t,30,60,90,365,2,0,0,2021-07-31,2022-11-20,5.0,4.5,4.5,5.0,5.0,5.0,4.5,f,34,34,0,0,0.07
45337459,1090473790,2023-11-06,,within an hour,100%,92%,f,Douglas,18,18,"['email', 'phone']",t,t,Douglas,41.82565,-87.61736,Private room in home,Private room,2,1 private bath,1.0,$58.00,1,1125,2,2,1125,1125,2.0,1125.0,t,29,59,89,364,1,1,1,2023-12-11,2023-12-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,18,3,15,0,1.0
985576475155209158,532213698,2019-06-03,"Chicago, IL",,,,f,North Center,1,1,"['email', 'phone']",t,t,North Center,41.95207,-87.68423,Entire rental unit,Entire home/apt,4,1 bath,2.0,$289.00,32,1125,32,32,1125,1125,32.0,1125.0,t,29,59,89,89,26,0,0,2019-10-06,2021-11-15,4.92,4.96,5.0,5.0,5.0,5.0,4.77,f,1,1,0,0,0.51
